Date,Closing Price,Open,High,Low
2020-11-04,0.0025538946,0.0025208209,0.0026200358,0.0024821165
2020-11-05,0.0026792854,0.0025543295,0.002693771,0.002519514
2020-11-06,0.0027101336,0.0026519085,0.0028678921,0.0025797781
2020-11-07,0.0026760902,0.002784494,0.0028889226,0.0025640615
2020-11-08,0.0026890653,0.0026702674,0.002764005,0.0026353857
2020-11-09,0.0026805462,0.0027285896,0.0028328406,0.0026405948
2020-11-10,0.002845188,0.0026585499,0.0028860172,0.0026406682
2020-11-11,0.0027512423,0.002765446,0.0028953669,0.0027221736
2020-11-12,0.0027768405,0.0027818407,0.0028360445,0.0026980367
2020-11-13,0.0028235882,0.0027776524,0.0028614603,0.0027670399
2020-11-14,0.0027657872,0.002841185,0.0028503121,0.002703005
2020-11-15,0.0027823463,0.0027654553,0.0028385082,0.0027209712
2020-11-16,0.002879259,0.0027662299,0.0030599307,0.0027509049
2020-11-17,0.0029175047,0.0029283182,0.0029977918,0.0028760652
2020-11-18,0.0029408577,0.0029143436,0.003028336,0.0028319611
2020-11-19,0.0029037501,0.0029364561,0.0029877106,0.0028403524
2020-11-20,0.0030533834,0.002923943,0.0030728221,0.0028679573
2020-11-21,0.0034896879,0.003044365,0.0036355473,0.0029333649
2020-11-22,0.0034321319,0.0035213341,0.003688855,0.0031477917
2020-11-23,0.0034476192,0.0033697542,0.0035025748,0.0031989382
2020-11-24,0.0039394926,0.0037306609,0.0042135243,0.0035419355
2020-11-25,0.0037237221,0.0042920994,0.0043166044,0.0036936865
2020-11-26,0.0032596568,0.0037181693,0.0038284343,0.0029612547
2020-11-27,0.0032933965,0.0032569103,0.0033746556,0.0030706732
2020-11-28,0.0034300423,0.0033211784,0.0034983252,0.0032439456
2020-11-29,0.0034322807,0.0033954723,0.0035557451,0.0033525141
2020-11-30,0.0035697728,0.0033982613,0.0036589832,0.0033851849
2020-12-01,0.0033846581,0.0035836496,0.0036372697,0.0032277608
2020-12-02,0.0033759578,0.0033422279,0.0034804284,0.0032386289
2020-12-03,0.0033947744,0.0033863355,0.0035298694,0.003321927
2020-12-04,0.0033223523,0.0034517944,0.0034625981,0.0032558819
2020-12-05,0.0034013053,0.003292811,0.0034205726,0.0032560142
2020-12-06,0.003386104,0.0033767234,0.0034459796,0.0033408295
2020-12-07,0.0033198234,0.0033735674,0.003413905,0.003290005
2020-12-08,0.0032161963,0.0033231852,0.0033781179,0.0031928835
2020-12-09,0.0032127536,0.0031880724,0.0032241658,0.0029858387
2020-12-10,0.003117204,0.0031485097,0.0032143888,0.0030561255
2020-12-11,0.0030920375,0.0031530192,0.0031630021,0.0029937034
2020-12-12,0.003138921,0.0031189156,0.0032345377,0.0030720585
